#SampleID	Sample
#q2:types	categorical
Nehu1to100018SNX	pos_control
Nehu1to10018S	pos_control
NTC01092318S	blank
XB1121222	blank
XB1121322	blank
XB2121222	blank
XB2121322	blank
XB3121222	blank
NTC01102318S	blank
XB1120822	blank
XB1121422	blank
XB1121522	blank
XB2120822	blank
XB2121422	blank
XB3120822	blank
CT14317b070822	sample
CT14413b062022	sample
CT14453b070822	sample
CT14458b070822	sample
CT14842b052422	sample
CT14866b061322	sample
CT15014b071322	sample
CT15244b070522	sample
CT15680b052622	sample
CT15680-Db052622	sample
CT16028b072822	sample
CT16038b063022	sample
CT16046b072022	sample
CT16103b072822	sample
CT16119b070722	sample
CT16120b072522	sample
CT16122b071322	sample
CT16124b072822	sample
CT16128b072122	sample
CT16191b082422	sample
CT16416b061322	sample
CT16583b070622	sample
CT16758b062022	sample
CT16758-Db061622	sample
CT16933b061522	sample
CT17141b070522	sample
CT17339b061322	sample
CT17852b072122	sample
CT18795b062322	sample
CT18795-Db062322	sample
CT19022b070622	sample
CT19040b061522	sample
CT19163b052422	sample
CT19249b071322	sample
CT19940b072722	sample
CT19957b072722	sample
CT20059b062022	sample
CT20123b051322	sample
CT20229b062022	sample
CT20525b062922	sample
CT20632b072822	sample
CT20633b072122	sample
CT20635b070622	sample
CT20636b063022	sample
CT20637b072022	sample
CT20637-Db072022	sample
CT20638b070522	sample
CT20639b072722	sample
CT20640b070722	sample
CT20641b070722	sample
MA0208QCb090722	sample
MA0208QCw090722	sample
MA1351b090922	sample
MA208b090722	sample
MA208w090722	sample
MA2275b091222	sample
MA3479b090822	sample
MA3479w090822	sample
MA363b090822	sample
MA363w090822	sample
MA3779b091122	sample
MA387b090822	sample
MA387w090822	sample
MA4427b091022	sample
MA4614b090822	sample
MA4614w090822	sample
MA4990b090922	sample
MA4990QCb090922	sample
MA4990QCw090922	sample
MA4990w090922	sample
MA5379b090722	sample
MA5379w090722	sample
MA5537b091022	sample
MA5837b091022	sample
MA5948b091122	sample
MA6009b090922	sample
MA6009w090922	sample
MA6327b091022	sample
MA6365b091222	sample
MA6977b091122	sample
MA7407b091122	sample
MA9628b090622	sample
MA9628w090622	sample
ME1038b071922	sample
ME1116b071422	sample
ME1148b072822	sample
ME1149b071422	sample
ME1211b072522	sample
ME1212b072522	sample
ME1212Kb072822	sample
ME18b072122	sample
ME253b072022	sample
ME268b071922	sample
ME393b071122	sample
ME486b072722	sample
ME550b071222	sample
ME601b071122	sample
ME604b071922	sample
ME619b071322	sample
ME620b071122	sample
ME636b072722	sample
ME659b071822	sample
ME674b071822	sample
ME697b072022	sample
ME74b071222	sample
ME755b072022	sample
ME756b072022	sample
ME768b072722	sample
ME837b072022	sample
ME841b072622	sample
ME869b072622	sample
ME977b071922	sample
MECBSb072122	sample
