#SampleID	ID1	State	Year	SiteAlias	SampleID2	Collected_Date	WaterbodyName	Latitude	Longitude	COMID	US_L4CODE	US_L3CODE	DIST_Cat	CatAreaSqKm	WsAreaSqKm	BFICat	ElevCat	Na2OCat	Al2O3Cat	CaOCat	Fe2O3Cat	SiO2Cat	MgOCat	SCat	P2O5Cat	K2OCat	NCat	HydrlCondCat	CompStrgthCat	ICI_v2_1	PctImp2019Cat	AgKffactCat	KffactCat	PctGlacTilCrsCat	SN_2008Cat	NO3_2008Cat	InorgNWetDep_2008Cat	NH4_2008Cat	PctUrban2019Cat	PctForest2019Cat	PctAg2019Cat	PctWetland2019Cat	PctHay2019Cat	PctCrop2019Cat	NsurpCat	NANICat	PrecipCat	TmaxCat	TmeanCat	TminCat	MSST_Avg	RockNCat	RunoffCat	ClayCat	SandCat	WtDepCat	OmCat	PermCat	RckDepCat	sw_fluxCat	WaterInputCat	wdrw_LDCat	WetIndexCat	Temperature_DegC	SpecConductivity_msCm	DO	Tot_Alk	NO3NO2	Chloride	Chla_area	Color_app	TKN	TN	TP	Turbidity	TDS	Chla_conc	pH
PrimeRef_1131		MA	2023	PrimeRef_1131	PrimeRef_1131	8/3/2023	Unnamed Tributary	42.27841233	-72.50871853	6781131	59a	59	BestRef	3.2724	3.2724	51.4992	137.4243	0.8753	9.7257	1.8841	3.0745	69.9107	1.4484	0.0558	0.1356	2.2498	0.0419	0.1128	109.6898	0.797181833	0.38	0.0029	0.18	38.2	723.0349	13.4402	5.1101	2.6838	0.78	89.99	1.05	6.74	1.05	0	4496.677811	4113.92769	1180.593769	14.99363286	8.937831029	-10.03476331	17.00643814	121.6259	616	6.2939	52.4097	152.8824	0.3683	17.3431	105.1909	385693	1.09E-05	5.0866	712.4362	14.9	177	8.65	59.2	0.05	1.3	0.0022	11	0.354	0.35	0.019	0.68	55	0.44	7.23
PrimeStrs_1863		MA	2023	PrimeStrs_1863	PrimeStrs_1863	8/3/2023	North Branch Manhan River	42.29977505	-72.74292555	6781863	58e	58	HighStrs	1.386	32.3487	47.5948	141.343	1.4559	11.8381	8.2467	5.9164	51.4242	2.752	0.059	0.1328	1.9504	0.0315	0.2395	93.3819	0.362900516	1.75	0.0806	0.2199	79.74	677.9776	12.6431	4.7841	2.4937	3.51	54.48	29.8	9.42	27.92	1.88	4133.407134	3915.990804	1199.520235	14.86759576	8.741569416	-10.8411036	19.13047214	156.6622	616	6.44	45.6627	73.97	0.79	5.36	139.3	385693	0.000107937	121.1688	813.6734	15.7	167	10.13	26	0.59	18	0.0095	14	0.424	1	0.005	0.56	54	1.92	7.01
PrimeStrs_8209		MA	2023	PrimeStrs_8209	PrimeStrs_8209	7/31/2023	East Branch Ware River	42.454408	-71.950516	7688209	58g	58	Strs	2.826	35.0919	51	293.2322	1.1878	14.5135	0.9964	7.0809	59.7603	2.7465	0.0532	0.1356	2.9649	0.0502	0.1392	71.8406	0.67251158	2.12	0.0161	0.22	0	646.0595	11.997	4.5424	2.3699	4.36	60.95	4.2	21.09	4.2	0	3871.38251	3407.98443	1213.035535	13.59013209	7.743883416	-11.37570048	18.45791263	99.5721	469	6.44	45.66	73.97	0.79	5.36	139.3	439717	3.67E-05	241.4654	756.7761	20.4	70	7.71	4.4	0.05	11	9E-04	74	2.27	2.3	0.012	1.4	32	0.189	6.53
PrimeStrs_8209_QC		MA	2023	PrimeStrs_8209	PrimeStrs_8209_QC	7/31/2023	East Branch Ware River	42.454408	-71.950516	7688209	58g	58	Strs	2.826	35.0919	51	293.2322	1.1878	14.5135	0.9964	7.0809	59.7603	2.7465	0.0532	0.1356	2.9649	0.0502	0.1392	71.8406	0.67251158	2.12	0.0161	0.22	0	646.0595	11.997	4.5424	2.3699	4.36	60.95	4.2	21.09	4.2	0	3871.38251	3407.98443	1213.035535	13.59013209	7.743883416	-11.37570048	18.45791263	99.5721	469	6.44	45.66	73.97	0.79	5.36	139.3	439717	3.67E-05	241.4654	756.7761				2.8	0.05	11	8E-04	70	0.43	0.43	0.027	1	38	0.161	6.24
PrimeRef_0065		MA	2023	PrimeRef_0065	PrimeRef_0065	8/2/2023	East Branch Swift River	42.44333962	-72.18730625	7690065	59b	59	Ref	1.9359	73.5624	48.8749	226.1599	2.5972	14.6704	2.5032	5.4261	65.9271	1.9618	0.0341	0.1339	2.7584	0.0206	0.0875	125.3006	0.8302204	0.38	6E-04	0.1956	83.03	699.7318	13.0019	4.9473	2.6014	0.56	90.01	0.33	3.02	0.33	0	2001.855587	1601.220621	1212.718156	14.08753672	7.99653857	-11.16787553	19.61758569	100.5141	469	5.6243	51.4669	88.5845	1.1735	10.209	139.4463	439717	9.66E-07	9.276	729.7685	17.5	69	10.09	7	0.05	12	0.0014	68	0.384	0.38	0.012	0.93	14	0.276	6.72
PrimeStrs_9606		MA	2023	PrimeStrs_9606	PrimeStrs_9606	8/6/2023	Wahconah Falls Brook	42.484309	-73.148521	7709606	58b	58	Strs	0.4896	49.9185	46	354.5276	0.1307	0.6619	32.2446	1.1126	8.1647	8.3984	0.0781	0.0641	0.1597	0.031	0.1281	118.1349	0.509025437	14.34	0.0516	0.2705	4.96	685.6128	12.9968	4.8946	2.5317	28.67	33.63	13.79	18.2	13.79	0	1945.783171	2262.570125	1217.934561	13.31925388	7.260212095	-12.21985283	18.22874007	149.3082	667	8.178	45.598	118.5586	5.4329	24.2804	146.5562	612411	3.6E-06	61.8602	879.4908	19.4	252	9.7	65.2	0.12	30	0.0125	27	0.34	0.46	0.059	0.44	140	2.49	7.64
PrimeStrs_9666		MA	2023	PrimeStrs_9666	PrimeStrs_9666	8/5/2023	Southwest Branch Housatonic River	42.43989713	-73.29401043	7709666	58b	58	HighStrs	0.3339	52.5717	45.1456	317.6596	0.15	0.9	33.2	1.3557	11.15	2.735	0.1	0.085	0.15	6E-04	0.1476	108.6189	0.397342858	27.51	0.0657	0.28	100	653.7024	12.3528	4.6612	2.4179	48.24	16.18	7.55	6.47	7.55	0	1250.658888	1363.214957	1115.060323	13.58606971	7.557514264	-12	18.97432501	134.0895	667	12.3	34.02	118.9	3.48	4.42	134.54	612411	1.23E-06	28.4568	784.6173	21.5	436	8.93	120	0.15	25	0.0039	22	3.81	4	0.016	1.9	150	0.787	7.77
PrimeRef_9756		MA	2023	PrimeRef_9756	PrimeRef_9756	8/6/2023	Furnace Brook	42.368004	-73.380574	7709756	58b	58	SubRef	13.6854	15.2883	44.0235	359.7357	0.4865	5.0116	23.5081	2.9284	27.119	2.664	0.0788	0.0977	1.1479	0.0173	0.1188	104.7689	0.705243479	1.49	0.0379	0.2918	95.93	666.3446	12.5538	4.7448	2.467	2.9	72	8.02	10.74	8.02	0	16413.96624	14106.23277	1175.914925	13.29762152	7.260194151	-11.64543606	17.63783831	132.9791	649.9609	13.0188	31.1863	128.09	2.7984	4.7091	121.239	612399.2211	8.61E-05	35.1059	751.7567	14.2	402	10.3	180	0.14	13	0.0034	2.5	0.323	0.46	0.005	0.37	250	0.682	7.88
PrimeStrs_0204		MA	2023	PrimeStrs_0204	PrimeStrs_0204	8/5/2023	Unnamed Tributary	42.213175	-73.391263	7710204	58b	58	Strs	22.4532	40.7556	46.8088	312.3433	0.5311	5.6585	21.3656	3.2653	28.5439	4.4263	0.0734	0.0954	1.146	0.0279	0.1277	103.602	0.578582391	1.04	0.0632	0.2794	97.33	671.7824	12.6196	4.7747	2.4863	2.05	68.5	16.26	8.13	15.56	0.7	26779.89224	22897.69613	1149.133681	13.81350391	7.792468223	-11.40260936	19.11399708	141.2419	667	11.295	33.8912	131.0793	2.7533	5.9706	120.5334	612411	0.000207817	73.5671	741.5885	18.6	388	9.49	109	0.44	14	0.0049	2.5	6.57	7	0.011	0.68	150	0.985	7.52
PrimeRef_0236		MA	2023	PrimeRef_0236	PrimeRef_0236	8/5/2023	Unnamed Tributary	42.05003318	-73.42610577	7710236	58a	58	BestRef	9.0828	9.0828	47.4874	527.3018	0.4077	4.3267	25.1105	2.8047	23.3726	2.8363	0.0871	0.0974	0.8692	0.0134	0.147	99.2016	0.799502373	0.16	0.0053	0.3076	92.51	758.3852	14.2006	5.3805	2.8073	0.26	92.05	1.03	4.91	1.03	0	10165.26192	8111.163666	1268.546327	13.05047805	7.75575043	-11.31416955	17.65257918	180.4427	650.9128	14.1589	26.6846	150.0641	1.4564	7.5329	92.2503	612180.2796	6.74E-06	9.5019	699.852	14.9	33.6	9.85	2	0.05	1.4	6E-04	17	0.15	0.15	0.005	0.65	6.5	0.128	6.34
PrimeStrs_0238		MA	2023	PrimeStrs_0238	PrimeStrs_0238	8/5/2023	Whiting River	42.052793	-73.241032	7710238	58d	58	SomeStrs	6.8814	34.2198	47.9652	328.3112	1.701	11.3072	3.9116	4.3146	66.286	1.9529	0.0197	0.1165	1.9343	0.008	0.1087	174.8149	0.734937973	0.6	0.0199	0.2436	100	712.2891	13.2771	5.0272	2.6208	0.85	78.4	6.71	6.91	5.65	1.06	8104.22532	6770.500971	1209.318826	13.64004076	7.863989179	-10.94160323	18.69267781	145.9666	667	5.9767	42.4493	145.9695	1.7854	10.0937	109.11	612411	1.99E-05	24.2802	732.0524	20.6	102	8.55	36	0.1	5.4	0.002	38	0.434	0.53	0.011	1.5	51	0.402	7.03
PrimeStrs_3361		MA	2023	PrimeStrs_3361	PrimeStrs_3361	8/2/2023	Millers River	42.677886	-72.061585	9343361	58g	58	Strs	4.5675	143.9109	47.997	286.3423	1.6431	14.9085	2.8739	7.5859	60.9254	3.1998	0.0672	0.153	2.4765	0.0395	0.1729	88.7489	0.601923098	8.48	0.0063	0.2061	23.15	650.7462	12.0977	4.5906	2.4025	17.3	57.2	2.98	11.8	2.98	0	8554.48546	8569.752618	1195.427152	13.52269973	7.458439777	-12.71351721	20.09829889	46.2136	641	3.5783	59.9394	105.3691	5.9354	12.2228	146.2725	301861	2.58E-05	103.5311	821.4638	22.2	157	8.44	1	0.05	28	0.0028	130	0.15	0.15	0.025	3.2	66	0.569	6.27
PrimeStrs_9628	MA9628b090622	MA	2022	PrimeStrs_9628	PrimeStrs_9628	9/6/2022	Onota Brook	42.46609887	-73.25488434	7709628	58b	58	HighStrs	1.683	29.7279	46	324.9139	0.15	0.9	33.2	1.3557	11.15	2.735	0.1	0.085	0.15	0.0006	0.1476	108.6189	0.386775263	23.09	0.0386	0.27	91.71	646.169	12.2275	4.6105	2.389	41.24	19.89	6.84	2.78	6.84	0	7391.01657	8543.72514	1134.553224	13.53566881	7.500521866	-12.03930492	17.91122193	120.0968	667	7.35	52.3744	118.49	5.75	28.27	148.97	612411	6.89E-06	32.11	840.7455	19.2	0.254	8.1	85.8	0.18	16	0.003	16	0.415	0.6	0.017	2.4	110	0.64	8.13
PrimeRef_0208	MA208b090722	MA	2022	PrimeRef_0208	PrimeRef_0208	9/7/2022	West Brook	42.24787164	-73.28014542	7710208	58d	58	BestRef	12.8367	12.8367	45.8339	521.7996	2.7456	14.1271	3.2621	5.5192	66.1293	2.0994	0.0212	0.1288	2.4712	0.0063	0.11	147.618	0.815645721	0.12	0.0003	0.2304	100	669.1029	12.542	4.7437	2.4692	0.12	90.78	0.02	5.17	0.02	0	13860.65012	11556.05579	1300.663039	12.30747972	6.921666772	-11.43239152	17.17512378	157.15	667	5.8687	39.8162	141.3289	1.4202	8.0268	102.7538	612411	5.94E-07	0.4164	713.3639	16.8	0.057	8	14	0.05	1.3	0.001	52	0.522	0.52	0.022	2.1	48	0.138	6.45
PrimeRef_0208_QC	MA0208QCb090722	MA	2022	PrimeRef_0208	PrimeRef_0208_QC	9/7/2022	West Brook	42.24787164	-73.28014542	7710208	58d	58	BestRef	12.8367	12.8367	45.8339	521.7996	2.7456	14.1271	3.2621	5.5192	66.1293	2.0994	0.0212	0.1288	2.4712	0.0063	0.11	147.618	0.815645721	0.12	0.0003	0.2304	100	669.1029	12.542	4.7437	2.4692	0.12	90.78	0.02	5.17	0.02	0	13860.65012	11556.05579	1300.663039	12.30747972	6.921666772	-11.43239152	17.17512378	157.15	667	5.8687	39.8162	141.3289	1.4202	8.0268	102.7538	612411	5.94E-07	0.4164	713.3639	16.9	0.057	8.7	13.4	0.05	1.4	0.002	50	0.447	0.45	0.022	1.9	47	0.332	6.86
PrimeRef_5379	MA5379b090722	MA	2022	PrimeRef_5379	PrimeRef_5379	9/7/2022	Valley Brook	42.08197453	-72.9096246	6105379	58e	58	BestRef	7.2927	7.2927	45.7232	362.9747	1.4849	12.5323	2.7128	5.102	65.0952	2.1431	0.0549	0.1389	2.3585	0.0494	0.177	96.6135	0.817753487	0.22	0.0023	0.26	100	716.4805	13.3443	5.0261	2.6005	0.37	93.15	0.87	2.54	0.77	0.1	8014.494971	6536.844497	1325.212103	13.52530619	7.629512792	-11.59476773	17.33741643	134.4442	699.3826	5.73	41	140.4	0.64	7.69	91.06	690281.0865	2.14E-05	51.5762	730.1491	15.7	0.046	8.5	6.7	0.05	1.4	0.001	27	0.15	0.15	0.01	0.86	29	0.195	6.5
PrimeRef_0363	MA363b090822	MA	2022	PrimeRef_0363	PrimeRef_0363	9/8/2022	Broad Brook	42.73553196	-73.20485698	22290363	58b	58	BestRef	26.8353	26.8353	48	548.7819	1.4016	8.978	6.1156	3.7328	61.6548	3.9379	0.0189	0.1008	1.6462	0.0125	0.0573	190.5806	0.796806972	0.67	0.0038	0.3456	76.52	655.9561	12.7244	4.744	2.4169	1.12	92.89	1.05	2.21	1.05	0	30817.94987	25825.24545	1280.415115	11.83959806	6.557064674	-11.6264413	16.56443705	201.0717	714	7.1323	37.0689	120.9892	1.8001	6.0612	122.9154	410926	1.5E-05	4.2105	708.1333				62.4	0.16	5.4	0.005	13	0.15	0.15	0.005	0.1	72	0.943	
PrimeRef_4614	MA4614b090822	MA	2022	PrimeRef_4614	PrimeRef_4614	9/8/2022	Dunbar Brook	42.7045149	-72.95266602	10294614	58c	58	BestRef	1.6128	28.0449	45.4699	458.8494	1.5712	14.0376	2.8546	7.0835	60.5349	2.8982	0.0475	0.1417	2.3252	0.0356	0.2134	95.2279	0.879588089	0.33	0	0.23	100	701.362	13.4503	5.0403	2.5879	0.89	98.38	0	0.17	0	0	1773.82997	1380.940522	1319.350257	12.0757667	6.585263772	-11.93046861	16.87525082	183.1385	862	5.8043	39.3933	149.7619	1.2599	8.7785	97.5848	403818	0	0	671.5843				6.8	0.05	5	0.001	17	0.15	0.15	0.005	0.1	14	0.135	
PrimeStrs_0387	MA387b090822	MA	2022	PrimeStrs_0387	PrimeStrs_0387	9/8/2022	Dry Brook	42.60754542	-73.12540686	22290387	58b	58	Strs	24.0975	27.2718	46.0739	482.0214	1.3135	11.0754	8.7771	5.2908	53.0557	2.4185	0.0481	0.1197	2.0783	0.0249	0.1097	115.2377	0.572875924	2.08	0.0608	0.2547	100	669.4343	12.7563	4.7936	2.4715	4.2	65.86	20.14	5.18	19.93	0.21	31519.28728	27161.70524	1305.084071	12.25054579	6.789479732	-11.71635873	17.10313431	166.3205	713.2703	8.9738	37.82	119.3695	2.5946	5.3396	124.7089	411066.7911	0.000194891	73.0077	735.0579				94.3	0.14	19	0.001	26	0.302	0.44	0.005	0.29	140	0.191	8
PrimeRef_3479	MA3479b090822	MA	2022	PrimeRef_3479	PrimeRef_3479	9/8/2022	Westfield River	42.51463153	-72.9929962	6093479	58c	58	BestRef	1.6218	35.6823	46.0577	523.3303	1.5588	13.9884	2.3023	6.9948	61.1096	2.8099	0.0501	0.1404	2.3492	0.0364	0.2389	94.5932	0.796687971	0.48	0.0042	0.23	100	712.041	13.4917	5.0688	2.6127	0.84	94.45	1	0.72	1	0	1751.202697	1376.909134	1330.679883	11.97654451	6.666296609	-11.54001111	17.42362621	136.1077	711	6.1326	41.547	106.7443	2.0268	4.9442	123.9521	561412	1E-06	5.6757	712.6421				32.8	0.05	19	0.002	24	0.576	0.58	0.005	0.37	72	0.454	7.7
PrimeStrs_6009	MA6009b090922	MA	2022	PrimeStrs_6009	PrimeStrs_6009	9/9/2022	Meadow Brook	42.46184905	-72.88943792	6096009	58c	58	Strs	3.2616	10.8963	45.8035	365.1481	1.2415	11.9334	1.1867	5.8274	66.9736	2.1258	0.0377	0.1237	2.1077	0.0227	0.1619	144.5012	0.520594141	1.6	0.0395	0.23	100	680.0781	12.7989	4.8231	2.4978	3.18	68.6	13.02	9.82	13.02	0	7115.223082	6449.860111	1227.106156	13.20006774	7.072656138	-11.58832815	17.07979966	125.4247	711	6.21	42.19	96.6	2.22	4.04	130.17	561412	9.97E-05	48.6649	755.915				25.1	0.24	17	0.005	18	0.407	0.65	0.011	1	110	1.07	7.3
PrimeStrs_4990	MA4990b090922	MA	2022	PrimeStrs_4990	PrimeStrs_4990	9/9/2022	South River	42.52224973	-72.7803288	10294990	58f	58	HighStrs	4.527	7.2621	47.0054	365.4988	1.4803	11.712	8.7876	5.868	50.635	2.7721	0.06	0.1331	1.8901	0.0305	0.2492	92.9762	0.386342289	2.73	0.0611	0.26	100	661.8825	12.4405	4.6933	2.435	5.37	66.75	19.48	2.41	19.48	0	9224.595041	8486.132888	1302.192344	13.03920402	7.153392581	-11.58099434	16.40943188	149.5416	862	5.7306	41.084	140.3472	0.6403	7.6881	91.0984	403818	0.000461205	218.7856	713.1334				48.8	0.5	54	0.002	12	0.15	0.5	0.005	1.5	170	0.379	7.4
PrimeStrs_4990_QC	MA4990QCb090922	MA	2022	PrimeStrs_4990	PrimeStrs_4990_QC	9/9/2022	South River	42.52224973	-72.7803288	10294990	58f	58	HighStrs	4.527	7.2621	47.0054	365.4988	1.4803	11.712	8.7876	5.868	50.635	2.7721	0.06	0.1331	1.8901	0.0305	0.2492	92.9762	0.386342289	2.73	0.0611	0.26	100	661.8825	12.4405	4.6933	2.435	5.37	66.75	19.48	2.41	19.48	0	9224.595041	8486.132888	1302.192344	13.03920402	7.153392581	-11.58099434	16.40943188	149.5416	862	5.7306	41.084	140.3472	0.6403	7.6881	91.0984	403818	0.000461205	218.7856	713.1334				49.1	0.51	59	0.002	11	0.15	0.51	0.01	1.1	140	0.35	7.4
PrimeRef_1351	MA1351b090922	MA	2022	PrimeRef_1351	PrimeRef_1351	9/9/2022	Unnamed Tributary	42.46890058	-72.38113392	7691351	58g	58	BestRef	5.3649	10.3896	47.5445	272.5265	2.3127	13.7133	6.0002	7.2776	59.3631	3.4453	0.032	0.1355	1.7788	0.0164	0.0596	149.9045	0.804222518	0.06	0.0008	0.19	78.95	772.4719	14.3583	5.4676	2.8784	0.12	97.66	0.2	1.48	0.2	0	5747.258353	4752.604225	1316.641692	13.72419526	7.715478907	-11.15076339	17.82241306	18.3928	469	4.99	55.7	99.95	1.45	13.98	139.56	439717	8.88E-06	3.5954	743.3607				3.4	0.05	5.3	0.002	23	0.15	0.15	0.005	0.3	39	0.311	6.6
PrimeRef_4427	MA4427b091022	MA	2022	PrimeRef_4427	PrimeRef_4427	9/10/2022	Mine Brook	42.0622339	-71.84614989	6144427	59c	59	BestRef	2.0817	2.9241	52.0026	214.4028	3.54	14.2833	1.39	1.99	72.3	0.45	0.03	0.1	4.49	0.0034	0.0001	188.6766	0.83168738	0.61	0.0002	0.2007	30.44	657.6205	12.2424	4.6035	2.3748	1.51	94.47	0.09	2.9	0.09	0	3355.873148	3175.446737	1215.295678	14.33226366	9.00163052	-9.792606996	17.27989773	88.1611	689	6.5281	48.2809	117.2176	0.7931	10.0978	115.1433	394043.9473	4.82E-07	4.3132	771.5153	15.1	0.0213	10.6	1	0.05	2.5	0.002	2.5	0.15	0.15	0.005	0.1	44	0.503	6.05
PrimeStrs_6327	MA6327b091022	MA	2022	PrimeStrs_6327	PrimeStrs_6327	9/10/2022	Kettle Brook	42.24010242	-71.879113	166196327	59b	59	HighStrs	0.9639	17.7741	53.1279	234.6711	2.2759	14.2075	4.36	6.645	60.4379	2.6575	0.04	0.15	1.98	0.0402	0.2988	110.3559	0.626994461	13.16	0	0.22	100	669.3221	12.4177	4.6845	2.4295	25.77	43.04	0.37	12.51	0.37	0	2905.718626	2959.38028	1228.691061	14.05303759	8.852309339	-9.740429315	18.38496729	93.0232	700	6.44	45.8002	73.97	0.79	5.36	139.3	776153	0	0	780.5612	18.1	0.269	10.2	24.7	0.1	61	0.001	26	0.365	0.46	0.016	1	170	0.269	6.88
PrimeStrs_5837	MA5837b091022	MA	2022	PrimeStrs_5837	PrimeStrs_5837	9/10/2022	Fall Brook	42.51134515	-71.73723243	6075837	59h	59	HighStrs	4.194	19.359	53	128.4281	2.2759	14.2075	4.36	6.645	60.4379	2.6575	0.04	0.15	1.98	0.0402	0.2988	110.3559	0.477666427	43.13	0.0046	0.1956	19.12	621.8107	11.5235	4.3448	2.2518	67.96	13.82	0.9	6.85	0.79	0.11	19511.83117	22079.22744	1179.776369	15.02993866	9.102670299	-10.23487127	18.19648519	87.0027	494	3.6582	63.936	116.6793	0.9039	23.6426	143.5729	594044	1.17E-05	50.6666	789.1663	17.4	0.699	9.8	27.4	0.74	170	0.008	8	0.15	0.74	0.005	0.34	380	1.69	7.9
PrimeRef_5537	MA5537b091022	MA	2022	PrimeRef_5537	PrimeRef_5537	9/10/2022	Unnamed Tributary	42.65207092	-71.75957923	6075537	59h	59	BestRef	2.2311	2.2311	49.0633	187.215	3.6062	14.1858	1.2528	1.7498	72.4715	0.3924	0.0349	0.1025	4.1665	0.0062	0	176.9626	0.82279908	0.07	0.0002	0.2198	99.88	617.5087	11.4346	4.329	2.2572	0.12	93.83	0	4.76	0	0	3126.319005	2904.54179	1196.296241	14.46097983	8.566860528	-10.41137522	17.69357246	69.1486	494	6.44	45.6603	73.97	0.79	5.36	139.3	594044	1.16E-06	1.0774	762.6507	15.8	0.0904	8.5	2.1	0.05	2.1	0.002	37	0.15	0.15	0.005	0.2	37	0.338	5.97
PrimeStrs_7407	MA7407b091122	MA	2022	PrimeStrs_7407	PrimeStrs_7407	9/11/2022	Rosemary Brook	42.3196947	-71.24615807	5867407	59d	59	HighStrs	1.6236	10.053	58	35.9908	1.9617	12.8694	5.3049	6.7256	60.4941	3.6988	0.0436	0.2285	1.4711	0.0167	0.1802	107.5313	0.578707339	29.98	0	0.16	2.38	578.1701	10.5326	3.947	2.0256	54.04	14.47	0	5.27	0	0	12836.32313	14904.78888	1231.322569	15.66396383	9.757323341	-7.944013357	19.03232715	7.1563	509	4.71	52.5	100.05	0.64	16.75	104.14	2004387	0	0	780.4496	20.3	0.759	8.1	46.2	0.13	180	0.003	35	0.482	0.61	0.046	1	390	0.649	6.59
PrimeStrs_3779	MA3779b091122	MA	2022	PrimeStrs_3779	PrimeStrs_3779	9/11/2022	Mill River	42.19325396	-70.95954158	5863779	59c	59	HighStrs	4.3632	16.2747	51.8828	38.4859	3.5389	15.0795	2.9675	3.7526	67.1391	1.3424	0.0366	0.1416	3.8616	0.0041	0.0003	180.3828	0.500532895	41.09	0.0005	0.1892	47.59	572.6695	10.1586	3.7918	1.9335	64.7	10.73	0.04	10.97	0.04	0	33123.55102	37652.03789	1263.62222	15.45458408	10.26888966	-7.015841569	21.12549067	7.1684	509	4.9828	55.6172	99.9526	1.4266	14.0508	138.654	2004387	0	0	882.3084	19.3	0.492	7.4	17.7	0.18	99	0.002	260	0.753	0.93	0.047	2.6	290	0.286	6.65
PrimeStrs_6977	MA6977b091122	MA	2022	PrimeStrs_6977	PrimeStrs_6977	9/11/2022	Charles River	42.11904581	-71.45397389	5866977	59c	59	HighStrs	0.1503	57.8538	57	62.8853	3.54	14.2833	1.39	1.99	72.3	0.45	0.03	0.1	4.49	0.0034	0.0001	188.6766	0.591556041	28.9	0	0.1895	0	612.5344	11.2282	4.2132	2.1665	48.51	30.54	0	13.77	0	0	552.1069308	576.8963447	1247.10219	15.7195556	9.693938181	-9.600000381	19.72422686	63.9494	509	4.99	56.4937	99.95	1.45	13.98	139.56	2004387	0	0	940.3114	20.8	0.628	6.6	35	0.74	130	0.007	68	0.845	1.6	0.04	1.8	330	1.08	6.43
OverRef_5948	MA5948b091122	MA	2022	OverRef_5948	OverRef_5948	9/11/2022	Unnamed Tributary	42.15023573	-71.61668857	6115948	59c	59	SomeStrs	3.4695	40.4208	53.9416	94.0901	3.54	14.2833	1.39	1.99	72.3	0.45	0.03	0.1	4.49	0.0034	0.0001	188.6766	0.655794652	5.63	0.0135	0.1886	36.08	624.3724	11.5326	4.3349	2.2352	10.42	57.8	2.57	22.23	2.57	0	7401.19293	7267.018169	1233.642945	15.43699788	9.499780503	-10.00451364	19.6486219	97.0198	700	3.1043	66.3383	125.1874	0.9306	27.2824	144.8051	776153	3.4E-05	185.4658	797.9977	20.5	0.455	6.5	29	0.23	89	0.003	32	0.532	0.76	0.016	1.4	240	0.575	6.28
OverStrs_6365	MA6365b091222	MA	2022	OverStrs_6365	OverStrs_6365	9/12/2022	Horn Pond Brook	42.4611599	-71.149215	5866365	59d	59	HighStrs	2.7468	40.4433	54.8139	29.0436	3.0203	15.8607	7.7203	8.98	53.7566	4.7733	0.0547	0.2186	1.2503	0.0099	0.4574	193.3754	0.384118117	64.38	0.0014	0.1852	83.72	613.1938	11.1152	4.1606	2.1317	91.45	2.53	0	0	0	0	37977.02285	45894.24673	1268.617585	15.22602644	9.784422969	-7.868676402	19.76305588	6.7363	509	2.589	67.6133	133.0742	0.9342	30.6677	142.6716	2004387	1.21E-05	9.6267	828.1687	19.4		17.5	99.4	1.2	300	0.006	13	0.42	1.6	0.018	0.94	620	1.24	7.11
OverRef_2275	MA2275b091222	MA	2022	OverRef_2275	OverRef_2275	9/12/2022	North Brook	42.392526	-71.660329	6772275	59h	59	SubRef	18.2133	21.1221	54.8299	136.8272	2.6031	13.9586	3.0521	4.9097	65.1749	2.0072	0.0326	0.1183	3.168	0.0165	0.0446	157.2182	0.694380667	4.7	0.0101	0.18	94.02	643.7343	11.9002	4.4814	2.318	9.06	66.21	3.61	14.09	3.56	0.05	37150.84632	37107.34293	1194.774372	14.93815833	9.198056649	-10.08288782	19.4100592	91.0021	585.3715	7.2	45.9699	127.1	0.77	8.09	103.16	906582.4976	0.00016992	170.898	782.5542	19.2	0.256	12.6	15.4	0.19	150	0.001	35	0.46	0.65	0.107	3.6	160	0.199	6.14
