X1,X2
PrimeRef_0363-2025,264108
PrimeRef_0363_QC-2025,373654
PrimeRef_0379-2025,283293
PrimeRef_4614-2025,344785
PrimeStrs_3779-2025,0
PrimeRef_9677-2025,239794
PrimeRef_9677_QC-2025,276816
OverStrs_8635-2025,48637
OverStrs_9519-2025,367567
PrimeStrs_6989-2025,337260
PrimeStrs_4305-2025,333284
PrimeStrs_8803-2025,292441
PrimeRef_7271-2025,293425
PrimeStrs_8803_QC-2025,238241
PrimeStrs_1863-2025,291415
PrimeStrs_97435-2025,234500
PrimeRef_2325-2025,185764
OverStrs_6365-2025,325666
PrimeStrs_7435-2025,165289
PrimeRef_6366-2025,181376
PrimeStrs_4829-2025,210258
PrimeStrs_4293-2025,8569
PrimeStrs_6327-2025,362890
PrimeStrs_7147-2025,100808
PrimeRef_5379-2025,17264
PrimeRef_6395-2025,183845
OverStrs_6971-2025,114562
MassExtra_Ref_8749-2025,252025
PrimeStrs_5837-2025,365502
PrimeRef_0065-2025,224459
OverRef_7631-2025,142792
PrimeStrs_7587-2025,316190
PrimeStrs_8297-2025,308113
PrimeRef_8541-2025,211723
PrimeStrs_8773-2025,141344
PrimeStrs_8773_QC-2025,270939
OverRef_3809-2025,206929
PrimeRef_1781-2025,152951
PrimeRef_8122-2025,131850
PrimeRef_0783-2025,116262
OverStrs_1871-2025,236511
OverRef_0897-2025,217125
PrimeStrs_0917-2025,113258
MassExtra_Ref_5289_QC-2024,747513
MassExtra_Ref_8749-2024,780307
OverRef_1339-2024,553234
OverRef_1407-2024,744259
OverRef_3355-2024,473590
OverRef_3377-2024,485655
OverRef_3457-2024,277455
OverRef_3809-2024,227985
OverStrs_8329-2024,955403
PrimeRef_0249-2024,767342
PrimeRef_0249_QC-2024,747147
PrimeRef_0783-2024,465473
PrimeRef_1377-2024,448552
PrimeRef_1695-2024,3549
PrimeRef_1747-2024,705606
PrimeRef_3601-2024,96586
PrimeRef_3739-2024,507307
PrimeRef_5529-2024,779325
PrimeRef_7599-2024,486102
PrimeRef_8122-2024,900961
PrimeRef_8211-2024,1115883
PrimeStrs_0331-2024,170403
PrimeStrs_3013-2024,739835
PrimeStrs_3543-2024,616623
PrimeStrs_3785-2024,542030
PrimeStrs_4874-2024,888304
PrimeStrs_5395-2024,829258
PrimeStrs_5749-2024,595767
PrimeStrs_5749_QC-2024,486670
PrimeStrs_5773-2024,1028531
PrimeStrs_6232-2024,581204
PrimeStrs_6443-2024,833470
PrimeStrs_6827-2024,758347
PrimeStrs_6989-2024,590745
PrimeStrs_6989_QC-2024,890238
PrimeStrs_7435-2024,193033
PrimeStrs_7451-2024,1132356
PrimeStrs_7579-2024,995343
PrimeStrs_7673-2024,578134
PrimeStrs_8233-2024,742447
PrimeStrs_8571-2024,314981
PrimeStrs_8773-2024,601441
PrimeStrs_4828-2023,563850
PrimeStrs_4942-2023,408091
PrimeStrs_4946-2023,374460
PrimeRef_5108-2023,161
PrimeRef_5108_QC-2023,161
PrimeRef_5122-2023,248579
OverRef_5132-2023,779011
PrimeStrs_0195-2023,169689
PrimeStrs_0213-2023,145652
PrimeStrs_0213_QC-2023,145652
PrimeRef_0231-2023,269859
PrimeRef_0641-2023,16155
PrimeRef_0641_QC-2023,16155
OverStrs_6719-2023,780605
PrimeStrs_5477-2023,41661
PrimeStrs_5799-2023,112926
OverStrs_6089-2023,5809
PrimeRef_6221-2023,528003
PrimeStrs_8803-2023,23807
PrimeRef_5399-2023,282502
PrimeRef_6949-2023,7084
OverRef_6983-2023,57220
PrimeStrs_7023-2023,102874
PrimeRef_6366-2023,79713
OverStrs_3709-2023,387545
OverRef_7631-2023,8740
PrimeStrs_5968-2023,416889
PrimeRef_5994-2023,749660
PrimeRef_8752-2023,272647
PrimeRef_1131-2023,260463
PrimeStrs_1863-2023,929098
PrimeStrs_8209-2023,6632
PrimeStrs_8209_QC-2023,6632
PrimeRef_0065-2023,154062
PrimeStrs_9606-2023,660796
PrimeStrs_9666-2023,589700
PrimeRef_9756-2023,527875
PrimeStrs_0204-2023,2338
PrimeRef_0236-2023,209097
PrimeStrs_0238-2023,182176
PrimeStrs_3361-2023,442962
PrimeRef_0208-2022,808
PrimeRef_0208_QC-2022,900
PrimeRef_5379-2022,8139
PrimeRef_0363-2022,12442
PrimeRef_4614-2022,0
PrimeStrs_0387-2022,38348
PrimeRef_3479-2022,996
PrimeStrs_6009-2022,10344
PrimeStrs_4990-2022,215
PrimeStrs_4990_QC-2022,3693
PrimeRef_1351-2022,1941
PrimeRef_4427-2022,1035
PrimeStrs_5837-2022,88429
PrimeRef_5537-2022,15615
PrimeStrs_7407-2022,3440
PrimeStrs_3779-2022,21234
PrimeStrs_6977-2022,3603
OverRef_5948-2022,47497
OverStrs_6365-2022,32586
